Student No	Fin	Rep
138312068	45	
150308014	24	DZ
150310061	x	DZ
150311021	x	FG
150311022	x	DZ
150312012	16	F
150312045	x	DZ
150312047	42	
150312051	12	DZ
150312064	x	DZ
150313014	x	FG
150313022	68	
150313036	x	DZ
150313037	44	
150313045	44	
150313062	71	
150313852	8	F
150314001	57	
150314002	84	
150314003	70	
150314004	73	
150314005	73	
150314006	57	
150314007	x	FG
150314008	63	
150314009	60	
150314010	55	
150314013	47	
150314015	21	F
150314016	61	
150314018	46	
150314019	46	
150314020	80	
150314021	35	
150314023	40	
150314024	63	
150314026	74	
150314028	57	
150314030	40	
150314033	60	
150314037	55	
150314038	51	
150314039	41	
150314040	18	F
150314042	82	
150314043	77	
150314044	21	F
150314045	54	
150314046	59	
150314047	86	
150314049	x	FG
150314050	55	
150314051	56	
150314052	35	
150314053	36	
150314056	x	FG
150314057	55	
150314058	43	
150314059	57	
150314061	65	
150314062	88	
150314063	59	
150314064	19	F
150314065	73	
150314067	98	
150314068	75	
150314853	14	F
150314904	x	FG
150315005	55	
150315008	74	
150315013	52	
150315020	8	DZ
150315021	58	
150315033	51	
150315042	43	
150315043	46	
150315049	74	
150315060	66	
150315506	85	
150315845	44	
150316501	20	F
150316503	43	
150316504	65	
150316505	74	
150316816	61	
150316822	47	
150316823	15	F
150316824	70	
150316825	53	
150316826	42	
150316829	14	DZ
150316835	55	
150316836	57	
150316839	55	
150316841	47	
150316844	41	
150316846	76	
150399981	x	DZ
150613023	52	
150613048	x	FG
150613060	75	
150713020	71	
150813013	57	

DZ  Devamsız ve başarısız 
F   Final notu 35'in altında 
FG  Finale girmedi -- Bu öğrencilerin mazeret dilekçesi 
verirken bana mail ile haber vermeleri gerekiyor 

