Student No	Mid
138312068	73
150308014	DZ
150310061	DZ
150311021	63
150311022	DZ
150312012	23
150312045	DZ
150312047	46
150312051	8
150312064	DZ
150313014	73
150313022	62
150313036	DZ
150313037	74
150313045	73
150313062	89
150313852	35
150314001	38
150314002	95
150314003	25
150314004	62
150314005	100
150314006	43
150314007	27
150314008	72
150314009	65
150314010	75
150314013	79
150314015	30
150314016	84
150314018	65
150314019	73
150314020	57
150314021	40
150314023	74
150314024	63
150314026	38
150314028	87
150314030	53
150314033	46
150314037	61
150314038	82
150314039	50
150314040	33
150314042	82
150314043	55
150314044	50
150314045	76
150314046	60
150314047	61
150314049	25
150314050	89
150314051	69
150314052	59
150314053	47
150314056	53
150314057	51
150314058	41
150314059	70
150314061	68
150314062	60
150314063	70
150314064	55
150314065	79
150314067	94
150314068	82
150314853	30
150314904	5
150315005	55
150315008	53
150315013	52
150315020	38
150315021	91
150315033	74
150315042	61
150315043	34
150315049	81
150315060	54
150315506	85
150315845	87
150316501	43
150316503	68
150316504	82
150316505	72
150316816	x
150316822	90
150316823	56
150316824	84
150316825	66
150316826	57
150316829	DZ
150316835	x
150316836	x
150316839	x
150316841	75
150316844	59
150316846	60
150399981	DZ
150613023	36
150613048	48
150613060	60
150713020	75
150813013	19

150316839     62
150316816     68 
150316835     38
150316829     40
150316836     72
